,name,NN_cost,NN_time,NN2Opt_cost,NN2Opt_time,NN2OptDLB_cost,NN2OptDLB_time,NN3Opt_cost,NN3Opt_time,NN3OptDLB_cost,NN3OptDLB_time,repNN_cost,repNN_time,repNN2Opt_cost,repNN2Opt_time,repNN2OptDLB_cost,repNN2OptDLB_time,repNN3Opt_cost,repNN3Opt_time,repNN3OptDLB_cost,repNN3OptDLB_time
10,bier127.tsp,135751.778048252,0.0021107196807861,122111.92862226092,0.1002044677734375,123562.16085625732,0.010002851486206,0.0,0.0,120517.36324070276,5.541988372802734,133970.64577239772,1.1279685497283936,123283.69917592152,1.293560028076172,126840.63121845548,1.1703157424926758,0.0,0.0,121890.54442286528,8.21733283996582
11,kroA150.tsp,33609.86697089157,0.0027751922607421,28517.3453032933,0.3287813663482666,28767.462974279068,0.0140092372894287,0.0,0.0,28055.2215769998,10.713586807250977,31482.020001248355,1.9515459537506104,28790.3605848093,2.202067375183105,28827.635870333503,1.96591591835022,0.0,0.0,28128.47328131292,12.093670129776
12,lin105.tsp,20362.757417265275,0.001462697982788,15605.49288641558,0.170999526977539,17280.60419860009,0.0074243545532226,0.0,0.0,14792.203808394364,4.381937742233276,16939.441490457702,0.6978299617767334,15242.68231138978,0.7511560916900635,15469.931386039128,0.6693599224090576,0.0,0.0,14774.02975487495,4.471065521240234
13,rat195.tsp,2761.957360047172,0.0047433376312255,2424.039996331463,0.3272297382354736,2470.932151036837,0.0245783329010009,0.0,0.0,2386.4528821969025,21.34654402732849,2628.5608671202904,4.422809839248657,2464.0159945780683,4.473080635070801,2482.6542776255737,4.5370142459869385,0.0,0.0,2371.229791146995,23.92121005058289
14,ch130.tsp,7575.286291798959,0.002077579498291,6676.9287562373,0.1341609954833984,6542.697128455703,0.011204719543457,0.0,0.0,6585.959658260171,6.240318298339844,7198.741111888065,1.2465336322784424,6492.758514510883,1.3645379543304443,6420.39117891328,1.2256405353546145,0.0,0.0,6329.999905344832,7.670793771743774
15,eil101.tsp,825.2423227277445,0.00140380859375,671.399250716253,0.1046328544616699,701.1462379856679,0.0069718360900878,0.0,0.0,667.4071792604436,3.17580246925354,736.3684390983171,0.5747458934783936,680.473257407307,0.6210010051727295,686.9195474092172,0.5799715518951416,0.0,0.0,676.4193998214596,3.695425987243652
16,kroB100.tsp,29155.043703713185,0.001389741897583,22663.27550805026,0.0715494155883789,22973.167084267578,0.0063087940216064,0.0,0.0,22406.46330541452,4.074544668197632,25882.973145965367,0.5573315620422363,23372.935836141096,0.6162047386169434,23161.778488349355,0.5640809535980225,0.0,0.0,22716.440571763,3.232994318008423
17,kroA100.tsp,26856.388591241608,0.0013983249664306,22496.6257786718,0.0994791984558105,22317.92255138289,0.0065906047821044,0.0,0.0,21933.688040605917,3.189440488815308,24698.49657976497,0.5624303817749023,21807.870740960512,0.6694011688232422,22136.87184969,0.5718977451324463,0.0,0.0,21637.84128741893,3.2473065853118896
18,rd400.tsp,19168.0515187703,0.064509630203247,16200.88159846608,17.010122060775757,17004.9333737324,0.3148581981658935,0.0,0.0,15739.505026695291,499.5000643730164,18303.299496419066,37.8377857208252,16481.646226025747,43.9564642906189,16537.4645895823,38.077778577804565,0.0,0.0,15994.761333202796,255.26817750930783
19,pcb442.tsp,61984.04725691384,0.026041030883789,54291.550222375685,5.105163335800171,54143.62568364856,0.1274585723876953,0.0,0.0,52738.44255347752,249.36442494392395,58952.967129705365,52.3282322883606,53647.86301739893,57.43841290473938,53971.23762866504,53.02751016616821,0.0,0.0,52911.062161360685,291.6691737174988
20,fl417.tsp,15114.11863913418,0.0242321491241455,12185.46319421698,11.91400671005249,12390.600706776931,0.1198751926422119,0.0,0.0,12036.919816486828,316.36735343933105,13802.37502624613,43.87578439712525,12558.966113636376,52.54707360267639,12572.67092554548,43.800095319747925,0.0,0.0,12236.182592037996,325.38908219337463
21,pr439.tsp,131282.09211543197,0.0248644351959228,113211.41320763408,5.749114513397217,119081.72850383991,0.1254088878631591,0.0,0.0,114625.2822172466,257.8199441432953,127228.35674234568,52.2438006401062,115453.73628509093,57.06779742240906,116502.59093093502,51.97217440605164,0.0,0.0,112721.76917909244,298.2757828235626
22,d493.tsp,43646.37613392925,0.0339975357055664,37180.52001468387,10.08406114578247,38125.39641538488,0.1923489570617675,0.0,0.0,36093.81494428623,403.9988102912903,41499.35476414018,75.57668137550354,36856.65659635292,87.58509111404419,37376.66649015679,76.32559108734131,0.0,0.0,36423.05710511715,451.5384969711304
23,pr299.tsp,59899.00967534027,0.0124166011810302,50516.35477659214,1.788166046142578,51549.67339992777,0.061636209487915,0.0,0.0,49579.153788662894,84.75000500679016,58288.14771559174,15.963244438171388,51245.981106089166,18.2483811378479,51684.73978018049,15.783920049667358,0.0,0.0,49837.317636654174,105.00201773643494
24,kroB200.tsp,36981.59014085328,0.0065236091613769,32314.42007540181,0.7104742527008057,32736.122238317854,0.0259203910827636,0.0,0.0,30794.34856825385,27.13320755958557,35394.00871886393,4.834950685501099,31713.4141563503,5.478129386901856,32500.715214515527,4.856589078903198,0.0,0.0,30653.65032140149,31.879756927490234
25,a280.tsp,3148.109934934404,0.0108695030212402,2803.264786593328,0.8829879760742188,2875.863531772653,0.0542466640472412,0.0,0.0,2753.659282411244,65.41509246826172,3094.278434464387,13.417282342910768,2773.269059983725,14.153570413589478,2708.0841188920645,13.149139165878296,0.0,0.0,2679.1658617376693,76.37646389007568
26,ts225.tsp,152493.55078894642,0.0062572956085205,134968.42159899004,0.4021298885345459,136477.3358258588,0.0313682556152343,0.0,0.0,130459.87748751738,35.4691960811615,140485.28137423855,6.6982738971710205,129939.9369394071,6.965540885925293,134160.51353328064,6.877434730529785,0.0,0.0,128308.82014451124,35.88041162490845
27,pr264.tsp,58022.856841092005,0.0087192058563232,53036.91892051564,0.8348307609558105,53421.86612032375,0.0425612926483154,0.0,0.0,51955.451919437626,54.41892385482788,54491.48242871468,10.921701431274414,52664.104510018,11.54406762123108,52721.68351301904,10.992422103881836,0.0,0.0,51688.31274703509,65.479177236557
28,u159.tsp,54669.02641496337,0.003159761428833,44564.20891009497,0.2901148796081543,47418.301262571535,0.0157017707824707,0.0,0.0,44902.81804078417,11.768314599990845,48586.72540467541,2.305154323577881,45352.68226028836,2.499207735061645,45660.45098333472,2.3193554878234863,0.0,0.0,43438.10239080458,13.498098373413086
29,gil262.tsp,3241.4668367219524,0.0092668533325195,2578.1309290487807,1.32920241355896,2634.5029524476963,0.0460083484649658,0.0,0.0,2482.892468060726,67.49655270576477,2883.6888569323537,10.767140626907349,2568.625368138933,12.225359678268433,2606.090613552781,10.840089082717896,0.0,0.0,2507.55805314865,72.82083129882812
30,pr226.tsp,94685.4541969057,0.0061795711517333,81939.57750379016,0.8548831939697266,82259.91185180064,0.0309748649597167,0.0,0.0,81415.50590009772,42.66638946533203,92552.74257236152,6.863990068435669,82505.89801180564,7.5843751430511475,83327.82468548545,6.808177947998047,0.0,0.0,81611.98875338392,43.77223300933838
